label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
empty-shelf,402,186,54,52,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.5b38f2928eaee077cf60d8285f9c8d94.jpg,640,640
empty-shelf,112,480,52,104,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.5b38f2928eaee077cf60d8285f9c8d94.jpg,640,640
empty-shelf,173,404,46,178,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.5b38f2928eaee077cf60d8285f9c8d94.jpg,640,640
empty-shelf,390,422,202,44,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.6fb1c2c6586f84847ff8b0c974b37a59.jpg,640,640
empty-shelf,465,476,125,54,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.6fb1c2c6586f84847ff8b0c974b37a59.jpg,640,640
empty-shelf,179,185,50,48,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.6fb1c2c6586f84847ff8b0c974b37a59.jpg,640,640
empty-shelf,2,114,40,55,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.6fb1c2c6586f84847ff8b0c974b37a59.jpg,640,640
empty-shelf,168,369,53,220,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.e36c8396d5bbc079a8d72d701dd007e8.jpg,640,640
empty-shelf,108,481,51,100,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.e36c8396d5bbc079a8d72d701dd007e8.jpg,640,640
empty-shelf,401,189,45,42,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.e36c8396d5bbc079a8d72d701dd007e8.jpg,640,640
empty-shelf,475,4,52,44,02133399-5937-42bb-8bea-38d33602c85e_jpg.rf.e36c8396d5bbc079a8d72d701dd007e8.jpg,640,640
empty-shelf,173,394,61,37,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.8a682331c8874f90e965b1d9dd4fe2ad.jpg,640,640
empty-shelf,460,420,28,89,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.8a682331c8874f90e965b1d9dd4fe2ad.jpg,640,640
empty-shelf,282,529,38,105,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.8a682331c8874f90e965b1d9dd4fe2ad.jpg,640,640
empty-shelf,377,2,22,71,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.8a682331c8874f90e965b1d9dd4fe2ad.jpg,640,640
empty-shelf,81,46,50,13,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.8a682331c8874f90e965b1d9dd4fe2ad.jpg,640,640
empty-shelf,429,149,81,35,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.932ab07eabfaeb68cfe568063a002787.jpg,640,640
empty-shelf,0,242,73,25,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.932ab07eabfaeb68cfe568063a002787.jpg,640,640
empty-shelf,391,409,38,64,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.932ab07eabfaeb68cfe568063a002787.jpg,640,640
empty-shelf,530,319,106,29,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.932ab07eabfaeb68cfe568063a002787.jpg,640,640
empty-shelf,41,512,20,55,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.932ab07eabfaeb68cfe568063a002787.jpg,640,640
empty-shelf,176,388,64,40,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.9f738e9e4651544fe588357dcc3bbf51.jpg,640,640
empty-shelf,456,419,31,99,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.9f738e9e4651544fe588357dcc3bbf51.jpg,640,640
empty-shelf,287,525,31,110,0436dda9-e22b-44dd-8a15-b31ee68fe860_jpg.rf.9f738e9e4651544fe588357dcc3bbf51.jpg,640,640
empty-shelf,358,381,59,43,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.2b35f2888fe0f6ac7efc1813a021faf2.jpg,640,640
empty-shelf,302,294,40,117,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.2b35f2888fe0f6ac7efc1813a021faf2.jpg,640,640
empty-shelf,255,158,39,49,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.2b35f2888fe0f6ac7efc1813a021faf2.jpg,640,640
empty-shelf,312,145,50,70,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.2b35f2888fe0f6ac7efc1813a021faf2.jpg,640,640
empty-shelf,191,533,37,55,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.2b35f2888fe0f6ac7efc1813a021faf2.jpg,640,640
empty-shelf,233,214,45,52,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.af22fc62b243ab99b3c34f16e51f79a6.jpg,640,640
empty-shelf,280,433,32,95,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.af22fc62b243ab99b3c34f16e51f79a6.jpg,640,640
empty-shelf,306,235,28,108,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.af22fc62b243ab99b3c34f16e51f79a6.jpg,640,640
empty-shelf,336,554,48,82,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.af22fc62b243ab99b3c34f16e51f79a6.jpg,640,640
empty-shelf,351,437,32,53,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.af22fc62b243ab99b3c34f16e51f79a6.jpg,640,640
empty-shelf,214,362,43,57,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.b1acdef4dc6b984eb0e18fc33ae77925.jpg,640,640
empty-shelf,262,299,74,46,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.b1acdef4dc6b984eb0e18fc33ae77925.jpg,640,640
empty-shelf,437,260,55,38,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.b1acdef4dc6b984eb0e18fc33ae77925.jpg,640,640
empty-shelf,435,316,45,45,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.b1acdef4dc6b984eb0e18fc33ae77925.jpg,640,640
empty-shelf,564,433,22,56,05015dd0-6c99-47ea-8f34-a998a40dc8b7_jpg.rf.b1acdef4dc6b984eb0e18fc33ae77925.jpg,640,640
empty-shelf,12,223,87,135,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.12f5331c762e4b1c145caf6978cf6e93.jpg,640,640
empty-shelf,153,37,127,101,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.12f5331c762e4b1c145caf6978cf6e93.jpg,640,640
empty-shelf,33,401,110,113,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.12f5331c762e4b1c145caf6978cf6e93.jpg,640,640
empty-shelf,259,415,160,98,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.12f5331c762e4b1c145caf6978cf6e93.jpg,640,640
empty-shelf,529,415,67,217,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.12f5331c762e4b1c145caf6978cf6e93.jpg,640,640
empty-shelf,123,32,92,608,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.543d8f0ef94c0fd3e457c5421a668baa.jpg,640,640
empty-shelf,12,523,95,83,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.543d8f0ef94c0fd3e457c5421a668baa.jpg,640,640
empty-shelf,292,7,119,166,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.543d8f0ef94c0fd3e457c5421a668baa.jpg,640,640
empty-shelf,512,162,78,127,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.543d8f0ef94c0fd3e457c5421a668baa.jpg,640,640
empty-shelf,6,207,121,139,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.ea949c3980fd08a9a022069db3094941.jpg,640,640
empty-shelf,166,48,123,84,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.ea949c3980fd08a9a022069db3094941.jpg,640,640
empty-shelf,41,403,477,127,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.ea949c3980fd08a9a022069db3094941.jpg,640,640
empty-shelf,528,415,68,219,080876a0-cb87-4ada-9c5b-a77239b0ccef_jpg.rf.ea949c3980fd08a9a022069db3094941.jpg,640,640
empty-shelf,214,507,136,86,083a1c9e-4d61-4e98-958b-bb7c4f8464e6_jpg.rf.1fe99dd04bd42cdaa95f76d09ac78ec2.jpg,640,640
empty-shelf,399,221,123,54,083a1c9e-4d61-4e98-958b-bb7c4f8464e6_jpg.rf.1fe99dd04bd42cdaa95f76d09ac78ec2.jpg,640,640
empty-shelf,400,166,31,50,083a1c9e-4d61-4e98-958b-bb7c4f8464e6_jpg.rf.1fe99dd04bd42cdaa95f76d09ac78ec2.jpg,640,640
empty-shelf,545,278,55,39,083a1c9e-4d61-4e98-958b-bb7c4f8464e6_jpg.rf.1fe99dd04bd42cdaa95f76d09ac78ec2.jpg,640,640
empty-shelf,90,272,89,46,083a1c9e-4d61-4e98-958b-bb7c4f8464e6_jpg.rf.1fe99dd04bd42cdaa95f76d09ac78ec2.jpg,640,640
empty-shelf,88,436,100,36,083a1c9e-4d61-4e98-958b-bb7c4f8464e6_jpg.rf.1fe99dd04bd42cdaa95f76d09ac78ec2.jpg,640,640
